Descricao,Codigo,RET,Validade_RET,IA
AGRORAM 24 SL,,,,PICLORAM 24%
RAPTOR,,,,DINOTEFURAN 80%
VICTORY,,,,METALAXIL 8% + MANCOZEB 64%
HALOXYGROP 10.8 EC,,,,HALOXIFOP-R-METIL 10.8%
"2.4 D 97%",,,,"2.4-D 97%"
PIRIMIFOS PRIME,,,,PIRIMIFOS METIL 50%
METRIBUZIN GRADO TECNICO,,,,METRIBUZIN 95%
HERBICANA 48 SC,,,,METRIBUZIN 48%
VIBRANCE MAXX ,,,,SEDAXANE 4.69% + METALAXYL-M 3.52% + FLUDIOXONIL 2.35%
STRATEGOS ULTRA,,,,"2.4-D 24% + PICLORAM 6.4%"
MAORI,,,,PICOXYSTROBIN 20% + CYPROCONAZOLE 12%
CAPSIALIL,,,,EXTRACTO DE AJÍ 43.4% + EXTRACTO DE AJO 54.2%
SIDERAL 800 WG,,,,TEFLUBENZURON 80%
RIZO OIL M,,,,ÉSTERES METÍLICOS DE ÁCIDOS GRASOS DE ACEITES VEGETALES 82%
ROUNDUP CONTROLMAX,,,,SAL MONOAMÓNICA DEL GLIFOSATO 79.2%
SAMURAI SUPER DF,,,,PICOXISTROBIN 5% + Clorotalonil 720 70% + PROTHIOCONAZOLE 5%
AGROQUEEN 70 WP,,,,TIOFANATO METHYL 70%
VIRTUE 50 EC,,,,CLOMAZONE 50%
CLOMAZONE TÉCNICO,,,,CLOMAZONE 96%
RAPINA 3.6 EC,,,,ABAMECTINA 3.6%
VESPER FIT,,,,LUFENURON 40% + BENZOATO DE EMAMECTINA 10%
ALTITUD SC,,,,AZOXYSTROBIN 25%
TOP GUN,,,,TRIFLOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
PROPUS,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
DICLO PLUS,,,,DICLOSULAM 84%
BENZOCOM 10 WG ,,,,BENZOATO DE EMAMECTINA 10%
LEXION 6.25 FS,,,,METALAXYL-M 3.75% + FLUDIOXONIL 2.5%
PASTAR GOLD,,,,TRICLOPYR 15% + AMINOPYRALID 5% + PICLORAM 10%
BITOXAM 20-30,,,,THIAMETHOXAM 30% + BIFENTRIN 20%
WILD 75 WG,,,,DINOTEFURAN 75%
EURUS SUPER DF,,,,DELTAMETRINA 15% + DINOTEFURAN 65%
SINBABOSAS®,,,,ALCALOIDES EXTRAÍDOS DE RUBIÁCEAS 33%
SINERGE,,,,Bixafen 15.5% + PICOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
METALLY,,,,METSULFURON METIL 60%
ACEGOAL XTRA,,,,ACETAMIPRID 70%
LUMATINA 50 WG,,,,LUFENURON 40% + BENZOATO DE EMAMECTINA 10%
EMAMEX,,,,BENZOATO DE EMAMECTINA 10%
ARTYS,,,,PICLORAM SAL DIMETILAMINA (EQUIVALENTE A PICLORAM ÁCIDO 6.4%) 7.6% + 2.4 D SAL DIMETILAMINA (EQUIVALENTE A 2.4 D ÁCIDO 24%) 28.9%
AGROSTAR - DIF 325 SC,,,,DIFENOCONAZOLE 12.5% + AZOXYSTROBIN 20%
FLUAZINAM 99%,,,,Fluazinam 99%
MESOTRIONE 98%,,,,MESOTRIONE 98%
AGROMIL-MZ,,,,METALAXIL 8% + MANCOZEB 64%
CROSS OUT 850 SG,,,,GLUFOSINATO DE AMONIO 85%
ALCHEMY PLUS 320 SC,,,,CIPROCONAZOL 12% + AZOXISTROBINA 20%
ARGENTO SUPER DF,,,,PICOXISTROBIN 6% + MANCOZEB 60% + CIPROCONAZOLE 6%
NORTON,,,,"2.4 D SAL DIMETILAMINA (EQUIVALENTE A 2.4 D ÁCIDO 24%) 40.2% + PICLORAM SAL DIMETILAMINA (EQUVALENTE A PICLORAM ÁCIDO 6.4%) 10.35%"
BIOGARD 60 SC ,,,,IMIDACLOPRID 60%
EDDUS,,,,SAL DE SODIO DE FOMESAFEN 11.26% + S-Metolachlor 46.4%
GLYFASTER DMA 800 SG,,,,Glifosato sal Dimetilamina 80%
DINOKILL,,,,DINOTEFURAN 75%
KARRANKA,,,,PYMETROZINE 50%
PYMETROZINE GRADO TECNICO,,,,PYMETROZINE 98%
TORCH,,,,PICLORAM 24%
VANTAGE 880 SG,,,,GLUFOSINATO DE AMONIO 88%
SPINOSAD GRADO TÉCNICO,,,,SPINOSAD 91%
QUANTUM PRO,,,,AZOXISTROBIN 23% + PROTHIOCONAZOLE 22%
CERBERUS,,,,SPINOSAD 48%
TROPA,,,,"2.4-D 24% + PICLORAM 6.4%"
PICLORAM 95%,,,,PICLORAM 95%
MICROGLIF G,,,,GLIFOSATO AMÓNICO 74.8%
TAIGRILL,,,,Pyriproxyfen 50%
THOR 75.7 SG,,,,GLIFOSATO 75.7%
DINCOZEB BLUE WP,,,,MANCOZEB 80%
THUG ,,,,IMAZETAPIR 70%
DRIVE,,,,IMIDACLOPRID 24% + TEBUCONAZOLE 1.35%
SUKHOI 500 SC,,,,SULFENTRAZONE 50%
BENZAN 45 WDG,,,,BENZOVINDIFLUPYR 15% + AZOXYSTROBIN 30%
ATRAZINA 90 AGRO PLUS ,,,,ATRAZINA 90%
PRATIKO,,,,"2.4-D SAL DE SODIO 25% + GLIFOSATO 50%"
VAKERO,,,,DICLOSULAM 42%
YGAL,,,,CLORIMURON ETIL 75%
HERACLITO EC,,,,LUFENURON 5%
EXPLORER,,,,BIFENTRIN 15% + DINOTEFURAN 40%
EBANO SUPER DF,,,,OXICLORURO DE COBRE 40% + PICOXISTROBIN 7% + PROTHIOCONAZOLE 8.7%
OXICLORURO DE COBRE TECNICO (TC),,,,OXICLORURO DE COBRE (EQUIVALENTE A COBRE 57.3 %) 96.3%
PYRIPROXYFEN 300 AGROFRIENDS,,,,Pyriproxyfen 30%
SULFENTRAZONE GRADO TÉCNICO,,,,SULFENTRAZONE 94%
PARAQUAT 27.6 AGRO PLUS,,,,Paraquat Dicloruro 27.6%
DIURON TECNICO (TC),,,,DIURON 97%
KAOS ULTRA 88.8 SG,,,,GLIFOSATO SAL AMONIO 88.8%
BOREAL PLUS,,,,SULFENTRAZONE 17.5% + DIURON 35%
TRAP 48 SC,,,,FIPRONIL 48%
KOVU 24 SL,,,,PICLORAM 24%
SULFENEX,,,,SULFENTRAZONE 50%
TIAMETOXAM 750 AGROFRIENDS,,,,TIAMETOXAM 75%
EMBLEMA 660,,,,GLIFOSATO SAL POTASICA 66%
OBERON®,,,,SPIROMESIFEN 24%
SHEIK 800 WG ,,,,TIODICARB 80%
ELESTAL,,,,SPIROPIDION 30%
ATTACK 600 FS,,,,IMIDACLOPRID 15% + TIODICARB 45%
APERO,,,,PICLORAM 24%
KAOS DMA 60.8 SL,,,,GLIFOSATO SAL DE DIMETILAMINA (EQUIVALENTE ÁCIDO GLIFOSATO 48%) 60.8%
MANCOZATE,,,,MANCOZEB 80%
LUTHOR,,,,PROTHIOCONAZOLE 22% + AZOXYSTROBIN 23%
BIFENTRIN 96%,,,,BIFENTRIN 96%
TRICLOPIR NORTOX,,,,TRICLOPIR BUTOLICO (EQUIVALENTE A ÁC. TRICLOPIR 48%) 66.7%
KASUGAMICINA GRADO TÉCNICO,,,,KASUGAMICINA 65%
DOMINATOR 75 WG,,,,THIAMETHOXAM 75%
DINOTEFURAN 800 AGROFRIENDS,,,,DINOTEFURAN 80%
ARES SUPER DF,,,,"2.4-D SAL DIMETILAMINA 97%"
ACRONIS TOP,,,,PYRACLOSTROBIN 2.05% + TIOFANATO METIL 18.44% + FIPRONIL 20.5%
TERMINATOR,,,,BENZOATO DE EMAMECTINA 10%
KASUBACTER 2 SL,,,,KASUGAMICINA 2%
RIZODERMA,,,,TRICHODERMA HARZIANUM 3.24%
FELTRIN MAX 400 WG ,,,,BIFENTRIN 40%
"2.4 D GRADO TECNICO",,,,"2.4-D 98%"
EXTERMINIO,,,,LUFENURON 40% + BENZOATO DE EMAMECTINA 10%
TOPUS 30 SC,,,,TEFLUBENZURON 30%
FELTRIN 400 SC,,,,BIFENTRIN 40%
STALKER 800 WG,,,,IMAZETAPIR 80%
DOUGLAS,,,,DIFECONAZOLE 25% + PROPICONAZOLE 25%
DICLOSULAM TÉCNICO (TC),,,,DICLOSULAM 97%
TRISINA,,,,SIMAZINA 45% + ATRAZINA 45%
SINTONIA,,,,OXICLORURO DE COBRE 30% + AZOXISTROBIN 7% + CIPROCONAZOLE 10%
HATOR,,,,TEBUCONAZOLE 43%
BRUTUS,,,,DICLOSULAM 84%
METHOXIFENOZIDE GRADO TECNICO,,,,Metoxifenozide 98%
GHOST,,,,Metoxifenozide 24%
NOVADIM WG,,,,DIFLUBENZURON 75%
PROPANEX,,,,PROPANIL 48%
LI PLUS,,,,LECITINA DE SOJA 35%
DITEFON 48 SL,,,,ETEFON 48%
GENSBAN,,,,CLORPIRIFOS 48%
TANTALO,,,,Clorotalonil 720 75%
AGRONATE 90 SP,,,,METOMIL 90%
GLUFOSINATO DE AMONIO 20 AGRO PLUS ,,,,GLUFOSINATO DE AMONIO 20%
DOMADOR,,,,DICAMBA DIMETIL AMINA (EQUIVALENTE A ÁCIDO DICAMBA 48%) 57.8%
ETHEPHON TECNICO (TC),,,,ETEFON 91%
FLUMIOXA PLUS,,,,FLUMIOXAZIN 48%
MESOTRIX 48 SC,,,,MESOTRIONA 48%
PROCER WG,,,,LUFENURON 80%
MESOTRIONA TC,,,,MESOTRIONA 97%
TACTIC,,,,LÁTEX SINTÉTICO Y SURFACTANTE ORGANOSILICONADO 63%
CLORANSULAM METHYL 98%,,,,CLORANSULAM METIL 98%
APROVVE 84% WG,,,,CLORANSULAM METIL 84%
AGROMAND 48 EC,,,,CLOMAZONE 48%
TRIFLUMURON TAFIREL,,,,TRIFLUMURON 48%
RAZANTE DUO,,,,Paraquat Dicloruro 16.6% + DIQUAT DIBROMURO 14.9%
FLANCO 750 WG,,,,ACETAMIPRID 75%
ESPLENDOR 250 FS,,,,FIPRONIL 25%
HOROS,,,,PICOXISTROBINA 12% + TEBUCONAZOL 20%
CLOROTALONIL PLUS,,,,Clorotalonil 720 72%
TRICLON ,,,,TRICLOPIR BUTOXI ETIL ESTER (EQUIVALENTE A ACIDO TRICLOPIR 48% ) 68%
EPOXICONAZOLE TECNICO (TC),,,,EPOXICONAZOLE 98%
DOBLETE MAX,,,,EPOXICONAZOLE 16% + PIRACLOSTROBINA 26%
NIQUEL PLUS,,,,TRIFLOXISTROBIN 25% + TEBUCONAZOLE 50%
FLUROXI PLUS,,,,FLUROXIPIR METIL 48%
ENERVIG 200 SL,,,,DIQUAT DIBROMURO 20%
FENTIN TAFIREL,,,,FENTIN HIDROXIDO 50%
NOMAD 900 SP,,,,METOMIL 90%
AGROTAZON 48 SL,,,,BENTAZON 48%
BOREAL 50 SC,,,,SULFENTRAZONE 50%
CLEARSOL DF ,,,,IMAZAPIR 80%
ENLIST® COLEX D,,,,"2.4 -D SAL COLINA (EQUIVALENTE A 45.6% 2.4-D ÁCIDO) 66.9%"
GLUFOMIO 200,,,,GLUFOSINATO DE AMONIO 20%
BOSCALID GRADO TECNICO,,,,BOSCALID 98%
CLODINAFOP 24 AGRO PLUS,,,,CLODINAFOP PROPARGILICO 24%
CLORANSULAM METHYL TÉCNICO (TC),,,,CLORANSULAM METIL 97%
CONAN 84 WG,,,,CLORANSULAM METIL 84%
AVOID,,,,PICOXYSTROBIN 20% + PROTHIOCONAZOLE 24%
SYNERGIA,,,,HALOXYFOP-P-METIL 5% + CLETODIM 20%
CHEM UP GOLD,,,,Glifosato sal Dimetilamina 60.8%
PROPIZOL AC,,,,PROPICONAZOLE 20% + CIPROCONAZOLE 5% + AZOXYSTROBIN 12.5%
AGROTALONIL 720 SC,,,,Clorotalonil 720 72%
METAFLUX,,,,METALAXYL-M 37.5% + FLUDIOXONIL 25%
PREDECESSOR,,,,IMAZETAPYR 20% + FLUMIOXAZIN 14.5% + DICLOSULAM 6.5%
PROPICONAZOLE TC,,,,PROPICONAZOLE 95%
OVERTOP 24% SC,,,,CLORFENAPYR 24%
AZOXYSTROBIN TECNICO (TC),,,,AZOXYSTROBIN 98%
CROSS OUT 200 SL ,,,,GLUFOSINATO DE AMONIO 20%
MEGAXAM 75 WG,,,,THIAMETHOXAM 75%
BOOMER 750 WG,,,,PIRIMICARB 75%
REAPER MAX 250,,,,LAMBDACIALOTRINA 25%
NINJA,,,,BENZOATO DE EMAMECTINA 10%
DIFENOCONAZOLE TC,,,,DIFENOCONAZOLE 98%
IMICOM 70 WP,,,,IMIDACLOPRID 70%
GLYFASTER-K 830 SG,,,,GLIFOSATO SAL POTASICA 83%
CAPRICORN SUPER DF,,,,BENZOVINDIFLUPYR 1.6% + PICOXISTROBIN 3.2% + Clorotalonil 720 70%
FLUCOM 75 WP,,,,TEFLUBENZURON 75%
SAMURAI ULTRA,,,,AZOXISTROBIN 6% + Clorotalonil 720 50%
BENZOVINDIFLUPYR GRADO TECNICO,,,,BENZOVINDIFLUPYR 97%
AMISHA 80,,,,AMETRINA 80%
CARBENCOM 80 WG,,,,CARBENDAZIM 80%
BUSHKILL DÚO,,,,TRICLOPYR BUTOXY ETHYL ESTER (EQUIVALENTE A ACIDO TRICLOPYR 48%) 66.74% + DICLOSULAM 2.5%
PRIVILEGE,,,,METHOXYFENOZIDE 48% + BENZOATO DE EMAMECTINA 10%
AGROINDO 30 WG,,,,Indoxacarb 30%
MAGNO 970 DF ,,,,ACEFATO 97%
SUPERGROP,,,,SIMAZINA 25% + ATRAZINA 25%
SIMAZINA 97%,,,,SIMAZINA 97%
NEON 50 SC,,,,PROTHIOCONAZOLE 50%
NICO PLUS,,,,NICOSULFURON 75%
TWINER,,,,TRICLOPYR-BUTOTYL 35% + FLUROXYPYR MEPTYL 15%
PICOXYSTROBIN TC,,,,PICOXYSTROBIN 97%
SHELTER,,,,PICOXYSTROBIN 20% + PROTHIOCONAZOLE 17.5%
PICOXYSTROBIN GRADO TECNICO,,,,PICOXYSTROBIN 98%
PROTERA 800 WDG,,,,DINOTEFURAN 80%
TRIGGER 800 WDG,,,,TIAMETOXAM 80%
OCHIMA,,,,ALKIL ESTER FOSFATADO 80%
HALOXINOVA 54,,,,HALOXIFOP - P - METIL 54%
ALTIMAX,,,,CARBENDAZIM 15% + THIRAM 35%
TERBUTHYMAX,,,,TERBUTHYLAZINE 87.5%
FERRO 32.5 SC,,,,AZOXISTROBIN 15% + PROTHIOCONAZOLE 17.5%
SIMAZINA 97%,,,,SIMAZINA 97%
ATRAZINA 97%,,,,ATRAZINA 97%
TORK 400 SC,,,,THIAMETHOXAM 25% + BIFENTRIN 15%
THUNDE,,,,ATRAZINA 50%
THANNOS 350 SC,,,,BIFENTRIN 15% + DINOTEFURAN 20%
THUNDE MAX ,,,,SIMAZINA 25% + ATRAZINA 25%
TRACKER 290 SC,,,,BIFENTRIN 12% + DINOTEFURAN 17%
SAFEGUARD,,,,PICOXYSTROBIN 20% + PROTHIOCONAZOLE 17.5%
CROWN,,,,TRIFLOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
TERBUTHYLAZINE GRADO TECNICO,,,,TERBUTHYLAZINE 97%
THIRAM 98%,,,,THIRAM 98%
SKIPER 450 SC,,,,THIAMETHOXAM 30% + BIFENTRIN 15%
AGROSATO GOLD,,,,GLIFOSATO SAL DE DIMETILAMINA (EQUIVALENTE ÁCIDO GLIFOSATO 48%) 60.8%
GLIFOSATO TC,,,,GLIFOSATO 97%
TAI JI,,,,LAMBDACIALOTRINA 25%
FORTGREEN DRIVE,,,,ACIDOS GRASOS NATURALES 40% + ALCOHOL ETOXILADO LINEAR 60%
PICOXYSTROBIN 97% TC,,,,PICOXYSTROBIN 97%
COMPADRE,,,,LECITINA DE SOJA 42%
PARACAMPO-QUAT 200 SL,,,,DIQUAT 20%
LANZAR,,,,ALQUIL ESTER ETOXILADO DE ACIDO FOSFORICO 28%
LEGGERA 860 SL,,,,"2.4-D SAL DIMETILAMINA 86%"
PROTHIOCONAZOLE GRADO TECNICO,,,,PROTHIOCONAZOLE 98%
PRIXX ULTRA 375 SC ,,,,PICOXYSTROBIN 20% + PROTHIOCONAZOLE 17.5%
SENDERO,,,,IMAZAPYR 25%
IMAZ SOMAX 700,,,,IMAZAPIC 17.5% + IMAZAPIR 52.5%
MANCOZEB 75% WG SOMAX,,,,MANCOZEB 75%
FLUROXYPYR SOMAX 480,,,,FLUROXYPYR MEPTYL 48%
POLUX DUO,,,,"2.4 D SAL SODICO 20% + GLIFOSATO SAL AMONIO 55%"
FLUOMETURON GRADO TECNICO,,,,FLUOMETURON 97%
AGUILA ®,,,,LUFENURON 40% + BENZOATO DE EMAMECTINA 10%
FIPROCHIN 80 WG,,,,FIPRONIL 80%
POLARIS WG,,,,GLIFOSATO SAL AMONIO 75.7%
FASTO 50 SC,,,,FLUOMETURON 50%
BEETLE 30,,,,ABAMECTINA 30%
GLIFOSATO SAL DE AMONIO TÉCNICO,,,,GLIFOSATO SAL AMONIO 97%
KILLER MAX 500 WDG,,,,TEFLUBENZURON 40% + BENZOATO DE EMAMECTINA 10%
STRAICK 40 EC,,,,BIFENTRINA 40%
METOLACHLOR TC,,,,METOLACLOR 97%
FULMINANTE 80 WG,,,,FIPRONIL 80%
MOSPRID 70 WG,,,,ACETAMIPRID 70%
ANTI-FLY,,,,ACETAMIPRID 70%
GLIFOSATO SAL DE AMONIO 95% TC ,,,,GLIFOSATO SAL DE AMONIO 95%
DOMO 80 WG,,,,CIPROCONAZOLE 40% + AZOXYSTROBIN 40%
XTENSIVE PLUS,,,,LUFENURON 20%
ISOXAFLUTOLE GRADO TECNICO,,,,ISOXAFLUTOLE 98%
CEVYA®,,,,MEFENTRIFLUCONAZOL 40%
TERBUTIMAX PLUS,,,,METOLACLOR 37.5% + TERBUTHYLAZINE 12.5% + MESOTRIONE 3.75%
ABAMECTINA TÉCNICO,,,,ABAMECTINA 95%
BERTAC 500 WDG,,,,CLORFENAPYR 50%
COTESIA BIOCONTROL,,,,Cotesia flavipes 100%
PROSOY XTRA,,,,MANCOZEB 50% + PROTHIOCONAZOLE 2.5% + AZOXYSTROBIN 2%
PIFEN TOP,,,,PIRIPROXIFEN 35%
SHOCK 200 EC,,,,LAMBDACIALOTRINA 20%
CARCHIN 80 WG,,,,CARBENDAZIM 80%
KOMBATIENTE,,,,AZOXISTROBIN 30% + DIFENOCONAZOLE 20% + THIAMETHOXAM 10%
AGROBRILLA 400 SC,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
SKILL MAX,,,,ABAMECTINA 8.4%
TRIO SEEDS 261 FS,,,,METALAXIL-M 0.3% + FLUDIOXONIL 0.8% + TIAMETOXAM 25%
PENOXSULAM GRADO TÉCNICO,,,,PENOXSULAM 98%
PORCELEN 10 XTRA,,,,BENZOATO DE EMAMECTINA 10%
GRAMIRICE PLUS,,,,PENOXSULAM 3% + Cyhalofop butyl 21.4%
FOX,,,,PROTHIOCONAZOLE 22% + AZOXYSTROBIN 23%
MARFIX 360 EC ,,,,CLETHODIM 36%
PIRIMIC 480,,,,CLORPIRIFOS 48%
PARAQUAT DICLORURO 45%,,,,Paraquat Dicloruro 45%
MAXWELL,,,,Metoxifenozide 24%
DARKNESS,,,,ISOXAFLUTOLE 74%
JAGUAR 30 EC,,,,PIRIPROXIFEN 30%
POSEIDON,,,,TIOFANATO METIL 30% + PICOXYSTROBIN 7% + CIPROCONAZOLE 10%
MURALLA 50 SC,,,,MANCOZEB 50%
ASTUTE 431 FS,,,,METALAXIL-M 0.3% + FLUDIOXONIL 0.8% + TIAMETOXAM 24% + FIPRONIL 18%
CHLONA TOP,,,,CLORFENAPIR 24%
ÁCRUX,,,,Pyriproxyfen 30%
RUNNING,,,,PROTHIOCONAZOLE 22% + AZOXYSTROBIN 23%
PYRIPROXYFEN 97% TC,,,,Pyriproxyfen 97%
VORTEX TOP,,,,AZOXYSTROBIN 7.5% + METALAXYL-M 3.75% + FLUDIOXONIL 2.5%
FENTHRIN 25,,,,BIFENTRIN 25%
SANASEED,,,,IMIDACLOPRID 36% + FIPRONIL 18%
METRIM 750 WG,,,,METRIBUZIN 75%
AGROPRID 70 WP,,,,ACETAMIPRID 70%
LAMBDACIALOTRINA TECNICO,,,,LAMBDACIALOTRINA 97%
PYRACLOSTROBIN TECNICO,,,,PIRACLOSTROBIN 98%
TRIFLOXYSTROBIN TECNICO,,,,TRIFLOXYSTROBIN 96%
SIDERAL 300 SC,,,,TEFLUBENZURON 30%
FIPRONIL NORTOX,,,,FIPRONIL 25%
ANCORA 600 SC,,,,DIFENOCONAZOLE 35% + CYPROCONAZOLE 25%
DIRAN TOP,,,,DINOTEFURAN 80%
GLIFOSATO TC,,,,GLIFOSATO 97.74%
ROTUNDO,,,,PICOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
TORERO 600 FS,,,,IMIDACLOPRID 60%
FOXTROT SC,,,,PICOXYSTROBIN 16% + DIFENOCONAZOLE 17% + PROTHIOCONAZOLE 14.5%
KING,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
TORO,,,,BENZOATO DE EMAMECTINA 10%
DICARB PLUS,,,,CARBOSULFAN 15% + BIFENTRIN 5%
CARBOSULFAN TECNICO,,,,CARBOSULFAN 90%
YUKO 60,,,,TIAMETOXAM 60%
FLY STOP,,,,PIRIPROXIFEN 30%
VITAVAX THIRAM 200 FS,,,,CARBOXIM 20% + TIRAM 20%
DELPHUS 80,,,,DINOTEFURAN 80%
TREKY PLUS,,,,BIFENTRIN 15% + IMIDACLOPRID 40%
CRONNOS ,,,,PICOXYSTROBIN 2.67% + MANCOZEB 40% + TEBUCONAZOLE 3.33%
VIP,,,,CLETHODIM 36%
NOVASTAR DÚO,,,,NOVALURON 10% + BIFENTRIN 10%
FORTIMYL TM,,,,PICOXYSTROBIN 2% + MANCOZEB 50% + PROTHIOCONAZOLE 2.5%
LAMBDA 25 WP,,,,LAMBDACIALOTRINA 25%
LEYENDA 75,,,,SULFENTRAZONE 75%
DICAMBA SOMAX 480,,,,DICAMBA 48%
RAPTOR,,,,DINOTEFURAN 80%
ABAMETIN 50 WP,,,,ABAMECTINA 50%
RIZOTEC,,,,POCHONIA CHLAMIDOSPORIA PC 10 (5.2 X 10 EXP 7 CALAMIDOSPORAS/G) 28%
LALNIX ONIX SC,,,,BACILLUS METHYLOTROPHICUS ISOLADO UFPDA 20 MINIMO 1X10 EXP 9 UFC/ML 1.5%
VOXY,,,,PROPICONAZOLE 50%
ABATOP,,,,ABAMECTINA 3.6%
KAZAK,,,,DINOTEFURAN 80%
ROYAL,,,,METHOXYFENOZIDE 24%
LUFENURON 98% TC,,,,LUFENURON 98%
NOVALURON GRADO TECNICO,,,,NOVALURON 98.5%
METALAXYL-M,,,,METALAXYL-M 93%
BIFENTIN 20 EC,,,,BIFENTRIN 20%
CLETHODIM 93%,,,,CLETHODIM 93%
FLUDIOXONIL 98.22%,,,,FLUDIOXONIL 98.22%
MESUCHIN 60 WP,,,,METSULFURON METIL 60%
URUS 750 EC ,,,,FENPROPIMORPH 75%
FLEXIM,,,,FLUXOFENIN 96%
PICOKEM - V,,,,PICOXYSTROBIN 10% + DIFENOCONAZOLE 7.5% + PROTHIOCONAZOLE 8.75%
DELET,,,,DIQUAT (EQUIVALENTE A DIQUAT DIBROMURO 37.4%) 20%
CAPITAL,,,,Indoxacarb 30%
CAPRICORN MAX,,,,BENZOVINDIFLUPYR 15% + AZOXISTROBIN 30%
PROSOY TOTAL,,,,MANCOZEB 50% + TRIFLOXISTROBIN 2% + PROTHIOCONAZOLE 2.5%
CORCEL,,,,PIRACLOSTROBIN 2% + MANCOZEB 50% + PROTHIOCONAZOLE 2.5%
CALLIPAR,,,,IMIDACLOPRID 70%
FLUDIOXONIL 98% TC,,,,FLUDIOXONIL 98%
THANNOS 350 OD,,,,BIFENTRIN 15% + DINOTEFURAN 20%
TRACKER 290 OD,,,,BIFENTRIN 12% + DINOTEFURAN 17%
UNIZEB TRIDIUM,,,,AZOXISTROBIN 4.7% + MANCOZEB 59.7% + TEBUCONAZOLE 5.6%
PERSIST 720 SC,,,,Clorotalonil 720 72%
PULSAR GOLD,,,,LAMBDACIALOTRINA 25%
AZOTIN 40 SC,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
MANCOZEB 85% TC,,,,MANCOZEB 85%
BIOMAC,,,,BACILLUS SUBTILIS 1.5X10EXP10 UFC/ML 20%
PICLORAM 95%,,,,PICLORAM 95%
GLYFCOM 77.7 WG,,,,GLIFOSATO SAL DE AMONIO 77.7%
GLIFOSATO 95% TC,,,,GLIFOSATO 95%
DAKOTA 800 WG ,,,,DINOTEFURAN 80%
ARBUSTOP MAX,,,,Picloram Sal Triisopropanolamina 11% + TRICLOPYR 33% + FLUROXYPYR MEPTYL 9%
DINCOZEB 60 OD,,,,MANCOZEB 60%
MATADOR,,,,ABAMECTINA 90%
EBANO PLUS,,,,OXICLORURO DE COBRE 42% + Clorotalonil 720 40%
LALNIX RIZOS SC,,,,BACILLUS SUBTILIS ISOLADO UFPEDA 764 MINIMO 3X10EXP9 UFC/ML 1.5%
LALSTOP QUALITY WG,,,,TRICHODERMA ASPERELLUM ISOLADO SF 04 (URM) 5911 MINIMO 1.5X10EXP10 UFC/G 28%
AZOCHIN 32 SC,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
CHASE,,,,GLIFOSATO 48%
TRICOMAC,,,,TRICHODERMA HARZIANUM 1.5X10EXP9 UFC/G 8%
PIRACLOSTROBIN TECNICO,,,,PYRACLOSTROBYN 98%
BISECT,,,,BIFENTRIN 10%
BIFENTRIN ADAMA,,,,BIFENTRIN 10%
TIAMETOXAM NORTOX 750 WG,,,,THIAMETHOXAM 75%
POLARIS SG,,,,GLIFOSATO SAL DE AMONIO 75.7%
METALAXYL-M 98% TC,,,,METALAXYL-M 98%
COFENRIN,,,,BIFENTRIN 40%
TEBUCONATIN 80 WDG ,,,,TEBUCONAZOLE 80%
BATTUS GOLD,,,,ACETAMIPRID 25% + BIFENTRIN 25%
CENTROLE XTRA,,,,DINOTEFURAN 70%
SELETTO 325 SC,,,,PICOXYSTROBIN 15% + PROTHIOCONAZOLE 17.5%
ACETAMIPRID 99% TC,,,,ACETAMIPRID 99%
XYFEN,,,,Pyriproxyfen 35%
TOP 60,,,,METSULFURON METIL 60%
JUMKAN,,,,MEZCLA DE ESTERES Y DE JABON PROVENIENTES DE ACIDOS GRASOS DE ACEITES VEGETALES TRANS-ESTERIFICADOS CON GLICERINA 86%
ACCIÓN PLUS 60 SC,,,,IMIDACLOPRID 60%
VENGADOR,,,,ALFA CIPERMETRINA 20% + THIAMETHOXAM 35%
VANUATU,,,,CLORANSULAM METIL 84%
GLIFOSATO TECNICO CONCENTRADO,,,,GLIFOSATO 95%
PUNCH,,,,Nonil fenol etoxilado 33%
KEEP 70,,,,Nonil fenol etoxilado 31.5%
SAMBURU,,,,ATRAZINA 90%
EMBLEMA 480 SL,,,,GLIFOSATO IPA (P/V) (EQUIVALENTE A GLIFOSATO IPA 41% P/P) 48%
ALIADO,,,,BENZOATO DE EMAMECTINA 10%
PARAFUR 24,,,,Paraquat Dicloruro 24%
TA PLUS,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
CLETODIM 240 AGROFRIENDS,,,,CLETODIM 24%
KEEPER ULTRA,,,,GLUFOSINATO DE AMONIO 88%
OXIMUNNE ,,,,OXICLORURO DE COBRE 50%
GLIFOSATO OVER 757 WG,,,,GLIFOSATO SAL DE AMONIO 75.7%
ESKIMO,,,,IMIDACLOPRID 60%
GOBI 500 WP,,,,FLUMIOXAZIN 50%
SLOVAC,,,,FENPROPIMORF 75%
WEIZEN NT,,,,"2.4-D 30%"
